scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-03-26 13:17:16,2026-03-26,Billa,Butter,Teebutter,Eigenmarke,Ja! Natürlich Butter,Ja! Natürlich,3.19,2.69,EUR,1,"1 kg 12,76 €",Ja! Natürlich 250 g Packung,250,g,TRUE,,,multi_buy,ab 2 Packungen,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Streichfaehige oder klassische Butter
2026-03-26 13:17:18,2026-03-26,Billa,Eier,Eier,Eigenmarke,Ja! Natürlich Bio Eier M,Ja! Natürlich,4.99,,EUR,1,"1 Stk 0,50 €",Ja! Natürlich 10 stk,10,stk,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,Packungsgroesse dokumentieren
2026-03-26 13:17:20,2026-03-26,Billa,Fisch,Raeucherlachs,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-03-26 13:17:22,2026-03-26,Billa,Fleisch,Faschiertes gemischt,Eigenmarke,Ja! Natürlich gemischtes Faschiertes,Ja! Natürlich,7.99,,EUR,1,"1 kg 22,19 €",Ja! Natürlich 360 g Packung,360,g,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,Frischware
2026-03-26 13:17:24,2026-03-26,Billa,Kaese,Mozzarella,Eigenmarke,Ja! Natürlich Mozzarella,Ja! Natürlich,1.49,,EUR,100,"100 g 1,19 €",Ja! Natürlich 125 g Beutel,125,g,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,Kugel oder Standardpackung
2026-03-26 13:17:27,2026-03-26,Billa,Kaffee,Kaffee Crema,Eigenmarke,BILLA Bio Caffe Crema,BILLA Bio,14.99,,EUR,1,"1 kg 14,99 €",BILLA Bio 1 kg Packung,1,kg,TRUE,,,,,billa,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,Ganze Bohne wenn verfuegbar
2026-03-26 13:17:28,2026-03-26,Billa,Mehl,Weizenmehl universal,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-weizenmehl-universal-00643074,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-03-26 13:17:30,2026-03-26,Billa,Milch,Vollmilch,Eigenmarke,Ja! Natürlich Vollmilch länger frisch 3.5%,Ja! Natürlich,1.89,,EUR,1,"1 Liter 1,89 €",Ja! Natürlich 1 liter Packung Einweg,1,l,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,3.5 Prozent oder aehnlich
2026-03-26 13:17:32,2026-03-26,Billa,Schokolade,Vollmilchschokolade,Eigenmarke,Clever Alpenvollmilch Schokolade,CLEVER,0.89,2.19,EUR,100,"100 g 0,89 €",CLEVER 100 g Tafel,100,g,TRUE,,,multi_buy,ab 2 Tafeln,billa,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,Tafelware
2026-03-26 13:17:35,2026-03-26,Hofer,Butter,Teebutter,Eigenmarke,"ZURÜCK ZUM URSPRUNG Buttervariation, Streichzart",ZURÜCK ZUM URSPRUNG,2.99,,EUR,,,,,,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,Streichfaehige oder klassische Butter
